      11,   0.246094,   0.124023,   0.496094,  -0.119453,   1.054080,   0.190624, 0,0,0,0
      26,   0.245117,   0.126953,   0.513672,  -0.104560,   1.037844,   0.184032, 0,0,0,0
      42,   0.244141,   0.129883,   0.535156,  -0.098944,   1.022096,   0.164256, 0,0,0,0
      58,   0.244629,   0.129883,   0.562988,  -0.099554,   1.013062,   0.157419, 0,0,0,0
      73,   0.242188,   0.128906,   0.591309,  -0.107001,   1.011597,   0.158884, 0,0,0,0
      89,   0.239258,   0.127441,   0.609375,  -0.124092,   1.008301,   0.167674, 0,0,0,0
     105,   0.235840,   0.125977,   0.625000,  -0.148263,   1.001099,   0.185497, 0,0,0,0
     121,   0.233887,   0.125488,   0.633789,  -0.158274,   0.997192,   0.205030, 0,0,0,0
     136,   0.228027,   0.127441,   0.648438,  -0.164256,   0.981078,   0.231154, 0,0,0,0
     151,   0.217773,   0.130859,   0.668457,  -0.167063,   0.953610,   0.248978, 0,0,0,0
     167,   0.208984,   0.135742,   0.686035,  -0.165354,   0.942990,   0.236892, 0,0,0,0
     183,   0.156738,   0.147949,   0.767578,  -0.092352,   0.901239,   0.193798, 0,0,0,0
     198,   0.021973,   0.164062,   0.895996,   0.005555,   0.950803,   0.241409, 0,0,0,0
     214,  -0.020518,   0.158203,   0.925781,   0.099676,   0.996948,   0.232985, 0,0,0,0
     229,   0.006836,   0.079102,   0.878906,   0.181835,   1.079228,   0.295123, 0,0,0,0
     245,   0.066406,   0.051758,   0.816406,   0.220167,   1.070195,   0.328572, 0,0,0,0
     261,   0.083496,   0.044922,   0.774414,   0.252884,   1.068486,   0.338583, 0,0,0,0
     276,   0.087402,   0.041992,   0.744629,   0.264603,   1.072392,   0.340780, 0,0,0,0
     292,   0.121582,   0.043457,   0.625488,   0.305988,   1.111091,   0.433925, 0,0,0,0
     308,   0.183594,   0.004883,   0.325684,   0.476286,   1.094122,   0.489715, 0,0,0,0
     323,   0.250977,  -0.079140,   0.252930,   0.526949,   1.103766,   0.551242, 0,0,0,0
     339,   0.305664,  -0.113337,   0.221191,   0.586645,   0.974120,   0.466764, 0,0,0,0
     354,   0.137207,  -0.409380,   0.303711,   0.501434,   0.967649,   0.464567, 0,0,0,0
     370,   0.203613,  -0.574988,   0.295898,   0.577611,   0.969603,   0.451383, 0,0,0,0
     386,   0.129395,  -0.704934,   0.298340,   0.484588,   0.895990,   0.328084, 0,0,0,0
     401,   0.248535,  -0.851001,   0.270996,   0.360801,   0.891229,   0.184520, 0,0,0,0
     417,   0.312988,  -0.862237,   0.269531,   0.359458,   0.906244,   0.200513, 0,0,0,0
     433,   0.340820,  -0.863214,   0.263184,   0.355551,   0.888177,   0.174632, 0,0,0,0
     448,   0.382812,  -0.865169,   0.253418,   0.340048,   0.867790,   0.115425, 0,0,0,0
     464,   0.524414,  -0.865657,   0.207031,   0.315998,   0.825795,   0.060367, 0,0,0,0
     479,   0.518555,  -0.729849,   0.139160,   0.273637,   0.723372,  -0.096502, 0,0,0,0
     495,   0.460449,  -0.683439,   0.124512,   0.193920,   0.714948,  -0.146066, 0,0,0,0
     512,   0.437500,  -0.662921,   0.128418,   0.147165,   0.696393,  -0.175609, 0,0,0,0
     526,   0.419434,  -0.644358,   0.161133,   0.095160,   0.674174,  -0.235183, 0,0,0,0
     542,   0.398438,  -0.636053,   0.199219,   0.059513,   0.655130,  -0.269365, 0,0,0,0
     558,   0.377930,  -0.630191,   0.226074,   0.044253,   0.642800,  -0.281817, 0,0,0,0
     573,   0.189453,  -0.552516,   0.408691,   0.007020,   0.647806,  -0.340902, 0,0,0,0
     589,   0.136230,  -0.519785,   0.451660,   0.009461,   0.680278,  -0.360435, 0,0,0,0
     605,   0.046387,  -0.404983,   0.575195,  -0.038638,   0.714216,  -0.392419, 0,0,0,0
     620,   0.038574,   0.127930,   0.994141,   0.045352,   0.771104,  -0.287920, 0,0,0,0
     636,   0.117676,   0.299316,   0.929688,   0.154001,   0.823354,  -0.243240, 0,0,0,0
     651,   0.196777,   0.343750,   0.824707,   0.220900,   0.740096,  -0.206617, 0,0,0,0
     667,  -0.016121,   0.197266,   0.941895,   0.410120,   0.780870,  -0.224318, 0,0,0,0
     683,  -0.211529,   0.184082,  -0.590132,   0.247635,   1.035403,  -0.218946, 0,0,0,0
     698,  -0.020518,   0.573242,  -0.244260,   0.349570,   0.997925,  -0.160227, 0,0,0,0
     714,   0.130371,   0.507812,  -0.366878,   0.607642,   0.934933,  -0.049869, 0,0,0,0
     730,  -0.240352,   0.300781,  -0.747924,   1.051761,   0.603613,   0.015565, 0,0,0,0
     745,  -0.395701,  -0.003908,   0.962402,   0.933834,   0.612647,   0.008973, 0,0,0,0
     761,  -0.496825,  -0.205178,   0.622070,   1.140634,   0.581640,  -0.002258, 0,0,0,0
     777,  -0.441133,  -0.243283,   0.411133,   1.164317,   0.646585,   0.021913, 0,0,0,0
     792,  -0.170005,  -0.246702,   0.075684,   1.117927,   0.671733,  -0.016908, 0,0,0,0
